name,position_error,angle_error,normalized_position_error,normalized_angle_error,num_aircrafts_for_normalization,number_of_missed_aircrafts,intersection_distances,distances_from_red_aircraft,num_aircrafts
./5843924292/Task_1_5_1.json,422.5329177892169,83.80557486315125,70.42215296486948,13.967595810525209,6,0,0.0,0.0,6
./5843924292/Task_1_5_10_secondary.json,267.4324583059088,96.7591418639881,44.57207638431814,16.126523643998016,6,0,0.0,0.0,6
./5843924292/Task_1_3_9.json,204.95742858648492,24.007304151847087,51.23935714662123,6.001826037961772,4,0,0.0,0.0,4
./7538467423/Task_1_1_8_secondary.json,96.76771890683099,22.99351542191458,48.383859453415496,11.49675771095729,2,0,0.0,0.0,2
./7538467423/Task_1_1_6_secondary.json,46.46049894151541,2.896599546596022,23.230249470757705,1.448299773298011,2,0,0.0,0.0,2
./7538467423/Task_1_3_1.json,136.05741859249446,45.974520293957774,34.014354648123614,11.493630073489443,4,0,0.0,0.0,4
./7538467423/Task_1_3_9_secondary.json,141.30188749313575,26.427077597228177,35.32547187328394,6.606769399307044,4,0,0.0,0.0,4
./7538467423/Task_1_1_7_secondary.json,47.282327371567106,53.21488711596044,23.641163685783553,26.60744355798022,2,0,0.0,0.0,2
./7538467423/Task_1_5_9_secondary.json,620.3998545595044,90.98952971479423,103.39997575991741,15.164921619132372,6,0,0.0,0.0,6
./7538467423/Task_1_5_4.json,346.7068981095163,70.93475980728948,57.78448301825272,11.82245996788158,6,0,0.0,0.0,6
./7538467423/Task_1_5_1_secondary.json,291.30488939916097,82.09660864609411,48.550814899860164,13.682768107682351,6,0,0.0,0.0,6
./7538467423/Task_1_3_6_secondary.json,165.9901536076348,18.474147339915817,41.4975384019087,4.618536834978954,4,0,0.0,0.0,4
./7538467423/Task_1_3_4_secondary.json,144.34196942221922,27.735214690755072,36.085492355554805,6.933803672688768,4,0,0.0,0.0,4
./7538467423/Task_1_5_3.json,235.49573890130787,175.11356633120397,39.24928981688465,29.185594388533996,6,0,0.0,0.0,6
./7538467423/Task_1_3_7.json,346.96085673383106,36.130160549096786,86.74021418345777,9.032540137274196,4,0,0.0,0.0,4
